,A43ml,A1ml,V43ml,V1ml,Depth,Length,Weight,Age,Maturity,Stomach content,perc.stomachcontent,Prey size,Prey weight,Prey nr,Sex : F,Sex : M,Gall bladder : 1.0,Gall bladder : 4.0,n.full : 1.0,n.skeletal : 1.0,n.empty : 1.0,Prey species : Algae,Prey species : Amphipoda,Prey species : Bivalvia,Prey species : Bylgides sarsi,Prey species : Carbon,Prey species : Clupea harengus,Prey species : Clupeidae,Prey species : Crangon crangon,Prey species : Crustacea,Prey species : Diastylis rathkei,Prey species : Gammarus sp.,Prey species : Gasterosteidae,Prey species : Gasterosteus aculeatus,Prey species : Gobiidae,Prey species : Halicryptus spinulosus,Prey species : Limecola balthica,Prey species : Monoporeia affinis,Prey species : Mucus,Prey species : Mysida,Prey species : Mysidae,Prey species : Mysis mixta,Prey species : Mytilus sp.,Prey species : Neomysis integer,Prey species : Phyllodocida,Prey species : Pisces,Prey species : Polychaeta,Prey species : Pontoporeia femorata,Prey species : Pontoporeiidae,Prey species : Priapulida,Prey species : Priapulus caudatus,Prey species : Pungitius pungitius,Prey species : Remains,Prey species : Saduria entomon,Prey species : Sand,Prey species : Scales,Prey species : Scoloplos armiger,Prey species : Sprattus sprattus,Prey species : Stone,Prey species : litter,Stage digestion : 0.0,Stage digestion : 1.0,Stage digestion : 2.0
2015 - 40G4,723.16,229.65,10.17,1.42,67.44571428571427,27.104761904761904,260.1714285714286,4.561904761904762,4.0,4.289714285714286,1.6437142857142857,12.0,1.1666666666666667,4.302631578947368,0.6095238095238096,0.3904761904761905,0.0,0.0,0.9333333333333333,0.009523809523809525,0.05714285714285714,0.0,0.0,0.0,0.0761904761904762,0.0,0.0,0.0,0.0,0.0,0.11428571428571428,0.009523809523809525,0.0,0.0,0.0,0.1619047619047619,0.26666666666666666,0.08571428571428572,0.0,0.0,0.0,0.0,0.0380952380952381,0.0,0.009523809523809525,0.0,0.02857142857142857,0.009523809523809525,0.0,0.0,0.01904761904761905,0.0,0.009523809523809525,0.01904761904761905,0.009523809523809525,0.0,0.05714285714285714,0.0,0.02857142857142857,0.0,0.0380952380952381,0.7333333333333333,0.17142857142857143
2015 - 40G6,1442.96,815.54,16.87,4.1,54.4,20.5,135.0,2.375,4.0,2.23,2.015,,1.56125,5.5,0.375,0.625,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25
2015 - 41G7,271.02,11.4,1.3,0.02,37.69999999999999,30.8,393.92,12.506666666666666,5.706666666666667,18.18626666666667,4.877466666666666,34.92,2.495733333333333,7.258484848484849,0.72,0.28,0.0,0.0,0.9733333333333334,0.0,0.02666666666666667,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05333333333333334,0.0,0.0,0.0,0.0,0.12,0.2,0.0,0.0,0.0,0.0,0.02666666666666667,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.013333333333333334,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8533333333333334,0.12
2015 - 41G8,1971.85,1193.7,71.24,11.36,115.3531914893617,26.074468085106382,221.24468085106383,10.376344086021506,4.0,3.037659574468086,1.1986170212765959,34.63636363636363,0.8380851063829786,7.317460317460317,0.40425531914893614,0.5957446808510638,0.0,0.0,0.8936170212765957,0.02127659574468085,0.0851063829787234,0.02127659574468085,0.13829787234042554,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.07446808510638298,0.0,0.0,0.0,0.0,0.14893617021276595,0.0851063829787234,0.0,0.0,0.0,0.0425531914893617,0.031914893617021274,0.0,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.010638297872340425,0.010638297872340425,0.32978723404255317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6808510638297872,0.2127659574468085
2015 - 43G6,0.0,0.0,0.0,0.0,53.0,24.302325581395348,189.1627906976744,8.0,4.093023255813954,2.793023255813954,1.207674418604651,,1.5655813953488371,5.809523809523809,0.5348837209302325,0.46511627906976744,0.0,0.0,0.627906976744186,0.023255813953488372,0.3488372093023256,0.0,0.0,0.0,0.09302325581395349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11627906976744186,0.3953488372093023,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5116279069767442,0.13953488372093023
2015 - 43G8,164.52,112.23,3.52,1.56,62.151937984496136,21.984496124031008,160.06201550387595,5.589147286821706,3.387596899224806,3.3506976744186048,1.9131007751937983,19.24137931034483,0.4206976744186046,3.764705882352941,0.4728682170542636,0.5271317829457365,0.0,0.0,0.9457364341085271,0.015503875968992248,0.03875968992248062,0.015503875968992248,0.0,0.0,0.031007751937984496,0.0,0.0,0.0,0.0,0.015503875968992248,0.007751937984496124,0.007751937984496124,0.0,0.0,0.007751937984496124,0.007751937984496124,0.03875968992248062,0.20155038759689922,0.0,0.0,0.007751937984496124,0.023255813953488372,0.015503875968992248,0.007751937984496124,0.0,0.0,0.0,0.0,0.0,0.007751937984496124,0.0,0.0,0.0,0.5736434108527132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875968992248062,0.06976744186046512
2015 - 44G9,2091.52,1856.2,102.22,76.74,82.05714285714286,23.7,166.82857142857142,11.628571428571428,4.185714285714286,1.728714285714286,0.7657142857142859,16.8,0.3448571428571429,3.933333333333333,0.32857142857142857,0.6714285714285714,0.0,0.0,0.7428571428571429,0.0,0.2571428571428571,0.0,0.014285714285714285,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.014285714285714285,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.2,0.14285714285714285,0.0,0.0,0.0,0.014285714285714285,0.02857142857142857,0.0,0.0,0.0,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.17142857142857143,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.014285714285714285,0.6142857142857143,0.11428571428571428
2016 - 39G4,672.76,15.62,5.31,0.01,60.199999999999974,27.30909090909091,271.41818181818184,5.636363636363637,3.890909090909091,1.928545454545455,0.9543636363636362,,0.4967272727272728,7.5588235294117645,0.7818181818181819,0.21818181818181817,0.0,0.0,0.8727272727272727,0.03636363636363636,0.09090909090909091,0.01818181818181818,0.03636363636363636,0.0,0.10909090909090909,0.0,0.0,0.0,0.0,0.01818181818181818,0.16363636363636364,0.0,0.0,0.0,0.0,0.2,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.14545454545454545,0.0,0.0,0.03636363636363636,0.0,0.05454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.2545454545454545
2016 - 40G4,528.5,136.21,3.33,0.53,52.807142857142864,35.57142857142857,531.0,9.428571428571429,4.0,1.5307142857142857,0.3178571428571429,,0.7028571428571428,2.3333333333333335,1.0,0.0,0.0,0.0,0.6428571428571429,0.0,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.07142857142857142,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.21428571428571427
2016 - 40G5,1636.45,537.11,23.96,4.61,89.00306122448981,24.505102040816325,208.5204081632653,4.266666666666667,4.01530612244898,3.0752040816326525,1.4619897959183672,20.727272727272727,0.6671938775510204,4.876106194690266,0.6122448979591837,0.3877551020408163,0.0,0.0,0.8163265306122449,0.02040816326530612,0.16326530612244897,0.0,0.015306122448979591,0.00510204081632653,0.01020408163265306,0.00510204081632653,0.0,0.0,0.0,0.0,0.08163265306122448,0.00510204081632653,0.0,0.0,0.0,0.10714285714285714,0.21428571428571427,0.0,0.0,0.0,0.0,0.00510204081632653,0.09693877551020408,0.0,0.0,0.0,0.0,0.12755102040816327,0.0,0.02040816326530612,0.015306122448979591,0.0,0.015306122448979591,0.08673469387755102,0.0,0.0,0.00510204081632653,0.0,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.7040816326530612,0.10204081632653061
